Post_ID,Category,Author,Likes,Shares,Comments,Post_Length,Date_Posted,Hashtags,Sentiment_Score
POST_1,Fashion,jenkinssandra,3476,840,305,231,01-01-2023,"how, happy, way",0.4
POST_2,Food,rnorris,93,561,385,65,02-01-2023,"design, reveal, world",0.38
POST_3,Fashion,lawrencekathryn,3662,848,248,232,03-01-2023,"deep, away, term",-0.35
POST_4,Fashion,olivia39,2668,606,110,143,04-01-2023,"military, way, specific",0.57
POST_5,Food,lindsayvelasquez,4728,779,93,220,05-01-2023,"million, subject, type",0.8
POST_6,Food,qgrimes,3213,22,409,238,06-01-2023,"camera, home, area",-0.56
POST_7,Fashion,heather48,1338,565,178,215,07-01-2023,"improve, break, he",0.25
POST_8,Tech,sharon77,2992,885,46,94,08-01-2023,"eat, prepare, section",-0.22
POST_9,Fashion,gjohnson,269,765,281,175,09-01-2023,"discover, question, take",0.98
POST_10,Fashion,josephedwards,1975,964,339,228,10-01-2023,"able, Mr, can",-0.04
POST_11,Fashion,daniel67,3022,234,361,219,11-01-2023,"capital, concern, produce",-0.54
POST_12,Fashion,jallison,3563,995,91,73,12-01-2023,"data, along, skill",-0.24
POST_13,Food,slane,2498,58,375,164,13-01-2023,"market, performance, successful",0.31
POST_14,Fashion,thomas15,3521,163,211,207,14-01-2023,"lawyer, audience, ask",-0.85
POST_15,Tech,michaela40,2824,770,74,214,15-01-2023,"parent, receive, increase",0.21
POST_16,Food,hernandezjames,1040,825,377,172,16-01-2023,"sea, bit, special",0.86
POST_17,Tech,lauren30,2996,215,201,230,17-01-2023,"woman, which, break",0.7
POST_18,Tech,amy76,1862,182,444,240,18-01-2023,"black, wait, only",-0.86
POST_19,Tech,colemanholly,853,568,406,188,19-01-2023,"TV, six, no",0.99
POST_20,Tech,timothyrichardson,539,656,420,127,20-01-2023,"nor, life, into",0.4
POST_21,Food,shawn01,3606,934,296,200,21-01-2023,"student, upon, leader",-0.68
POST_22,Food,bmcdonald,1543,89,307,166,22-01-2023,"budget, common, assume",-0.98
POST_23,Tech,gonzalezallen,3695,963,210,129,23-01-2023,"fire, single, responsibility",-0.66
POST_24,Tech,qrivera,2941,310,492,99,24-01-2023,"yet, imagine, life",0.68
POST_25,Food,cody16,1755,556,337,134,25-01-2023,"Mrs, whose, ago",-0.96
POST_26,Food,casey07,3566,971,432,232,26-01-2023,"hold, respond, office",-0.53
POST_27,Food,lawrencewalker,3390,256,410,232,27-01-2023,"shoulder, happen, already",0.51
POST_28,Fashion,peter78,103,532,133,53,28-01-2023,"voice, week, produce",0.17
POST_29,Fashion,dustinparker,2625,978,329,274,29-01-2023,"glass, pull, start",0.57
POST_30,Fashion,jconrad,3641,532,65,231,30-01-2023,"operation, control, who",0.49
POST_31,Tech,michelle53,665,51,279,110,31-01-2023,"around, able, pattern",-0.9
POST_32,Fashion,mark22,1004,337,421,160,01-02-2023,"place, traditional, rock",0.79
POST_33,Tech,alyssa30,2483,170,27,127,02-02-2023,"into, year, long",-0.55
POST_34,Tech,kevinmorgan,1679,947,411,132,03-02-2023,"grow, list, oil",0.11
POST_35,Fashion,morganrobin,2831,66,116,182,04-02-2023,"hot, statement, Democrat",0.29
POST_36,Tech,daviskayla,699,624,492,149,05-02-2023,"big, life, care",-0.66
POST_37,Fashion,zford,2397,299,369,272,06-02-2023,"relationship, American, its",0.95
POST_38,Fashion,carteralexander,4540,671,486,195,07-02-2023,"movie, law, continue",-0.02
POST_39,Food,burkerandy,3328,777,449,221,08-02-2023,"I, commercial, often",-0.88
POST_40,Fashion,parrishjeffrey,2690,831,316,80,09-02-2023,"all, stand, under",0.87
POST_41,Food,francissusan,3851,231,429,168,10-02-2023,"color, wear, son",0.17
POST_42,Fashion,brendapruitt,2611,974,324,143,11-02-2023,"want, subject, blood",0.4
